,CITY,RANK,STATE,POPULATION,SEXRATIO,LITERACY
4,Jaipur,10,Rajasthan,3046163.0,900.0,83.33
5,Kanpur,12,Uttar Pradesh,2765348.0,857.0,82.42
6,Indore,14,Madhya Pradesh,1964086.0,925.0,85.87
7,Bhopal,16,Madhya Pradesh,1798218.0,921.0,83.47
8,Pimpri and Chinchwad,18,Maharashtra,1727692.0,833.0,89.22
9,Vadodara,20,Gujarat,1670806.0,921.0,90.63
10,Ludhiana,22,Punjab,1618879.0,850.0,85.77
11,Nashik,24,Maharashtra,1486053.0,899.0,89.85
12,Meerut,26,Uttar Pradesh,1305429.0,897.0,75.66
13,Kalyan and Dombivali,28,Maharashtra,1247327.0,920.0,91.37
14,Varanasi,30,Uttar Pradesh,1198491.0,887.0,79.27
15,Aurangabad,32,Maharashtra,1175116.0,929.0,87.49
16,Amritsar,34,Punjab,1132383.0,884.0,84.19
17,Allahabad,36,Uttar Pradesh,1112544.0,853.0,84.76
18,Ranchi,38,Jharkhand,1073427.0,921.0,87.37
19,Jabalpur,40,Madhya Pradesh,1055525.0,935.0,87.39
20,Vijayawada,42,Andhra Pradesh,1034358.0,995.0,81.24
21,Madurai,44,Tamil Nadu,1017865.0,999.0,90.91
22,Kota,46,Rajasthan,1001694.0,895.0,82.8
23,Guwahati,48,Assam,957352.0,933.0,91.47
24,Hubli and Dharwad ,50,Karnataka,943788.0,989.0,86.79
25,Mysore,52,Karnataka,893062.0,999.0,87.67
26,Gurgaon,54,Haryana,876969.0,846.0,87.52
27,Jalandhar,56,Punjab,862886.0,886.0,86.22
28,Bhubaneswar,58,Orissa,843402.0,890.0,91.87
29,Mira and Bhayander,60,Maharashtra,809378.0,886.0,90.98
30,Bhiwandi,62,Maharashtra,709665.0,709.0,79.48
31,Gorakhpur,64,Uttar Pradesh,673446.0,903.0,83.91
32,Amravati,66,Maharashtra,647057.0,961.0,92.07
33,Noida,68,Uttar Pradesh,637272.0,824.0,86.53
34,Bhilai Nagar,70,Chhattisgarh,625700.0,941.0,86.63
35,Cuttack,72,Orissa,610189.0,930.0,91.0
36,Kochi,74,Kerala,602046.0,1027.0,97.36
37,Dehradun,76,Uttarakhand,569578.0,907.0,88.36
38,Asansol,78,West Bengal,563917.0,929.0,83.3
39,Kolapur,80,Maharashtra,549236.0,959.0,90.61
40,Gulbarga,82,Karnataka,533587.0,964.0,82.3
41,Ujjain,84,Madhya Pradesh,515215.0,945.0,84.43
42,Ulhasnagar,86,Maharashtra,506098.0,881.0,87.49
43,Sangli Miraj Kupwad,88,Maharashtra,502793.0,982.0,85.91
44,Nellore,90,Andhra Pradesh,499575.0,958.0,84.1
45,Belgaum,92,Karnataka,488157.0,988.0,89.82
46,Tirunelveli,94,Tamil Nadu,473637.0,1027.0,90.39
47,Gaya,96,Bihar,468614.0,896.0,81.63
48,Jalgaon,98,Maharashtra,460228.0,913.0,87.28
49,Maheshtala,100,West Bengal,448317.0,952.0,82.03
50,Davanagere,102,Karnataka,434971.0,979.0,84.9
51,Kurnool,104,Andhra Pradesh,430214.0,1013.0,77.06
52,Rajpur Sonarpur,106,West Bengal,424368.0,970.0,90.14
53,Bellary,108,Karnataka,410445.0,991.0,78.38
54,South Dum Dum,110,West Bengal,403316.0,995.0,92.09
55,Bhagalpur,112,Bihar,400146.0,880.0,79.26
56,Muzaffarnagar,114,Uttar Pradesh,392768.0,899.0,79.8
57,Latur,116,Maharashtra,382940.0,937.0,84.22
58,Dhule,118,Maharashtra,375559.0,941.0,87.86
59,Korba,120,Chhattisgarh,363390.0,925.0,83.38
60,Brahmapur Town,122,Orissa,356598.0,920.0,89.26
61,Ahmadnagar,124,Maharashtra,350859.0,961.0,89.79
62,Kollam,126,Kerala,348657.0,1075.0,94.12
63,Kadapa,128,Andhra Pradesh,343054.0,990.0,78.66
64,Bilaspur,130,Chhattisgarh,331030.0,943.0,88.13
65,Shahjahanpur,132,Uttar Pradesh,329736.0,906.0,67.25
66,Rampur,134,Uttar Pradesh,325313.0,917.0,59.47
67,Chandrapur,136,Maharashtra,320379.0,953.0,89.42
68,Thrissur,138,Kerala,315957.0,1075.0,97.06
69,Barddhaman,140,West Bengal,314265.0,965.0,88.31
70,Kakinada,142,Andhra Pradesh,312538.0,1048.0,80.62
71,Parbhani,144,Maharashtra,307170.0,962.0,81.62
72,Hisar,146,Haryana,301383.0,846.0,84.65
73,Biharsharif,148,Bihar,297268.0,915.0,75.3
74,Panipat,150,Haryana,294292.0,873.0,82.84
75,Bally,152,West Bengal,293373.0,870.0,88.9
76,Tirupati,154,Andhra Pradesh,287482.0,966.0,86.97
77,Karnal,156,Haryana,286827.0,896.0,84.6
78,Jalna,158,Maharashtra,285577.0,941.0,81.8
79,Purnia,160,Bihar,282248.0,906.0,73.02
