,CITY,RANK,STATE,POPULATION,SEXRATIO,LITERACY
183,Hardoi,368,Uttar Pradesh,126851.0,912.0,85.43
184,Pithampur,370,Madhya Pradesh,126200.0,796.0,80.92
185,Dhaulpur,372,Rajasthan,125989.0,865.0,75.57
186,Nabadwip,374,West Bengal,125543.0,919.0,87.33
187,Jagdalpur,376,Chhattisgarh,125463.0,961.0,84.91
188,Basirhat,378,West Bengal,125254.0,981.0,87.35
189,Halisahar,380,West Bengal,124939.0,908.0,88.36
190,Rishra,382,West Bengal,124577.0,870.0,87.89
191,Dimapur,384,Nagaland,122834.0,910.0,86.03
192,Dharmavaram,386,Andhra Pradesh,121874.0,958.0,71.07
193,Kashipur,388,Uttarakhand,121623.0,912.0,82.45
194,Baidyabati,390,West Bengal,121110.0,938.0,88.26
195,Puruliya,392,West Bengal,121067.0,942.0,82.09
196,Mainpuri,394,Uttar Pradesh,120400.0,916.0,84.26
197,Satara,396,Maharashtra,120195.0,966.0,92.17
198,Madavaram,398,Tamil Nadu,119105.0,989.0,90.51
199,Dabgram,400,West Bengal,119040.0,949.0,73.2
200,Barshi,402,Maharashtra,118722.0,953.0,85.77
201,Jhunjhunun,404,Rajasthan,118473.0,925.0,73.58
202,Jetpur Navagadh,406,Gujarat,118302.0,903.0,82.12
203,Gudivada,408,Andhra Pradesh,118167.0,1001.0,81.64
204,Baran,410,Rajasthan,117992.0,932.0,80.25
205,Nagaon,412,Assam,117722.0,974.0,89.15
206,Adilabad,414,Andhra Pradesh,117167.0,971.0,78.74
207,Muktsar,416,Punjab,116747.0,891.0,76.49
208,Titagarh,418,West Bengal,116541.0,858.0,80.13
209,Chittaurgarh,420,Rajasthan,116406.0,938.0,84.06
210,Dum Dum,422,West Bengal,114786.0,960.0,91.99
211,Valsad,424,Gujarat,114636.0,955.0,91.18
212,Giridih,426,Jharkhand,114533.0,910.0,84.71
213,Gonda,428,Uttar Pradesh,114046.0,902.0,80.28
214,Kalol,430,Gujarat,113153.0,891.0,87.6
215,Ambikapur,432,Chhattisgarh,112449.0,928.0,88.29
216,Gondal,434,Gujarat,112197.0,924.0,84.26
217,Osmanabad,436,Maharashtra,111825.0,934.0,88.62
218,Champdani,438,West Bengal,111251.0,874.0,81.89
219,Khurja,440,Uttar Pradesh,111062.0,902.0,65.61
220,Azamgarh,442,Uttar Pradesh,110983.0,918.0,85.23
221,Delhi Cantonment,444,Delhi,110351.0,731.0,89.82
222,Baripada,446,Orissa,109743.0,936.0,88.52
223,Anantnag,448,Jammu and Kashmir,109433.0,927.0,76.17
224,Bongaon,450,West Bengal,108864.0,966.0,89.7
225,Khardaha,452,West Bengal,108496.0,977.0,94.37
226,Port Blair,454,Andaman and Nicobar Islands,108058.0,871.0,90.28
227,Bhadrak,456,Orissa,107463.0,951.0,79.49
228,Jalpaiguri,458,West Bengal,107341.0,999.0,90.64
229,Karaikkudi,460,Tamil Nadu,106714.0,1000.0,90.49
230,Wardha,462,Maharashtra,106444.0,982.0,93.77
231,Kishanganj,464,Bihar,105782.0,918.0,73.46
232,Amreli,466,Gujarat,105573.0,922.0,88.29
233,Gangawati,468,Karnataka,105529.0,1003.0,75.43
234,Jamalpur,470,Bihar,105434.0,880.0,86.46
235,Ballia,472,Uttar Pradesh,104424.0,883.0,83.33
236,Tadepalligudem,474,Andhra Pradesh,103906.0,1022.0,82.69
237,Baraut,476,Uttar Pradesh,103764.0,886.0,76.65
238,Betul,478,Madhya Pradesh,103330.0,956.0,89.28
239,Jehanabad,480,Bihar,103202.0,886.0,78.5
240,Nagapattinam,482,Tamil Nadu,102905.0,1026.0,89.02
241,Buxar,484,Bihar,102861.0,895.0,83.82
242,Aurangabad,486,Bihar,102244.0,910.0,86.03
243,Hinganghat,488,Maharashtra,101805.0,936.0,93.25
244,Bhadreswar,490,West Bengal,101477.0,903.0,86.51
245,Kasganj,492,Uttar Pradesh,101277.0,891.0,77.36
246,Gangtok,494,Sikkim,100286.0,912.0,89.33
247,Nagda,496,Madhya Pradesh,100039.0,947.0,80.71
248,Kapurthala,498,Punjab,98916.0,839.0,85.08
